n_repetitions,procedure,median_selection_frequency,p10_selection_frequency,minimum_selection_frequency,proportion_ge_0_80,proportion_ge_0_90
20,Logistic Regression,0.99949924887331,0.828342513770656,0.6184276414621933,0.8947368421052632,0.8596491228070176
20,Random Forest,0.8668002003004507,0.570655983975964,0.45818728092138206,0.5789473684210527,0.43859649122807015
30,Logistic Regression,1.0,0.9095739348370928,0.7087719298245614,0.9298245614035088,0.8947368421052632
30,Random Forest,0.943358395989975,0.6140350877192983,0.47969924812030074,0.7543859649122807,0.5964912280701754
40,Logistic Regression,1.0,0.9724310776942356,0.8245614035087719,1.0,0.9473684210526315
40,Random Forest,0.9899749373433584,0.6864160401002507,0.45263157894736844,0.8070175438596491,0.7192982456140351
