procedure,auc_mean,auc_sd,auc_min,auc_median,auc_max,brier_mean,brier_sd,brier_min,brier_median,brier_max
Logistic Regression,0.9945560253699788,0.0012989152875897596,0.9901559196617337,0.9947145877378436,0.9965644820295984,0.020547257795615344,0.001676794818571691,0.017014204612494713,0.02053952720971991,0.024349996903508662
Random Forest,0.9906401955602537,0.0009240946632887024,0.9877444503171248,0.9907009778012685,0.9923031183932347,0.03169631534215729,0.0010077788286968698,0.029944081035808437,0.03152387390158172,0.03499399060852373
