n_repetitions,n_valid_subsamples,shared_top57_median,shared_proportion_median,jaccard_median,jaccard_p025,jaccard_p975,lr_reference_overlap_median,rf_reference_overlap_median
20,1997,31.0,0.543859649122807,0.37349397590361444,0.3103448275862069,0.4430379746835443,0.9473684210526315,0.8245614035087719
30,1995,31.0,0.543859649122807,0.37349397590361444,0.3103448275862069,0.4430379746835443,0.9824561403508771,0.8771929824561403
40,1995,31.0,0.543859649122807,0.37349397590361444,0.32558139534883723,0.425,0.9824561403508771,0.9122807017543859
