method,lr_median_W,lr_P90_W,rf_median_W,rf_P90_W,spearman_rho,shared_top57,shared_proportion,jaccard,lr_cutoff_gap,rf_cutoff_gap,lr_exact_boundary_tie,rf_exact_boundary_tie,lr_near_boundary_tie,rf_near_boundary_tie
linear,0.001003938059742554,0.07262021934736318,0.01045000000000007,0.10785750000000002,0.7275218243304882,32,0.5614035087719298,0.3902439024390244,0.006825402774081141,0.0002875000000001071,False,False,False,False
nearest,0.0009903409819504159,0.07149981833562563,0.010375000000000023,0.10705000000000006,0.7278507225148582,32,0.5614035087719298,0.3902439024390244,0.006093068707842347,0.00024999999999986144,False,False,False,False
lower,0.0010199842424172517,0.07732735969233862,0.010874999999999968,0.110275,0.7260096849038995,32,0.5614035087719298,0.3902439024390244,0.008026788792367415,0.00012499999999995848,False,False,False,False
higher,0.0010386786779098252,0.07736639033051135,0.011125,0.11212499999999999,0.7303083436693615,32,0.5614035087719298,0.3902439024390244,0.006681989703960722,0.0006250000000000422,False,False,False,False
midpoint,0.0010348539744146443,0.07734687501142498,0.010750000000000037,0.1107875,0.7284741164890882,32,0.5614035087719298,0.3902439024390244,0.007354389248164048,0.002062500000000217,False,False,False,False
