repeat,weighted_auc,brier_score
0,0.9906183932346723,0.03165131373572057
1,0.9900568181818182,0.03105687148506151
2,0.9908826638477801,0.03104506779986819
3,0.989693446088795,0.03159399206392795
4,0.9908826638477801,0.030556982974516693
5,0.9909156976744186,0.03108555766695958
6,0.991906712473573,0.030487635325131813
7,0.9902880549682875,0.03130734193760984
8,0.9913451374207188,0.032002885050527244
9,0.9917085095137421,0.030567171984841827
10,0.991080866807611,0.03226083910918278
11,0.9909487315010571,0.031182410121924426
12,0.9907505285412262,0.03175561140707382
13,0.9894622093023255,0.03499399060852373
14,0.9921379492600423,0.03308216506480668
15,0.9909487315010572,0.031200299346441123
16,0.9905523255813954,0.03140022545035149
17,0.9912790697674418,0.03114376323594024
18,0.9904862579281184,0.03188561753075571
19,0.9920718816067653,0.0313964024879174
20,0.9900568181818182,0.032492528586335674
21,0.989627378435518,0.03263297446177504
22,0.9899246828752643,0.03151219914323374
23,0.9893300739957717,0.032722982947056244
24,0.9916754756871036,0.029944081035808437
25,0.989693446088795,0.033516848061291744
26,0.9900237843551797,0.0315355486599297
27,0.9906514270613108,0.03041821015487698
28,0.9912790697674418,0.03070531628954306
29,0.989627378435518,0.031037977262741653
30,0.9877444503171248,0.03333387758128296
31,0.9916094080338267,0.03227762483523725
32,0.9904862579281184,0.0321571424099297
33,0.9899907505285412,0.031787031661906856
34,0.9909156976744186,0.031027154849516694
35,0.9921379492600423,0.030822836994727588
36,0.9898586152219874,0.030928872199033387
37,0.9891649048625792,0.031244042289103685
38,0.991146934460888,0.03163793983413884
39,0.9911139006342494,0.030987315630492097
40,0.9904862579281184,0.0325967013400703
41,0.9896604122621564,0.03213685901801406
42,0.991146934460888,0.03216171968365553
43,0.9907505285412262,0.03230250980338313
44,0.9915433403805497,0.0313637462379174
45,0.9905853594080338,0.03178858087104569
46,0.991774577167019,0.030468824088312828
47,0.9902880549682875,0.033564604844024605
48,0.9893961416490487,0.033668173330404214
49,0.9923031183932347,0.030385398615992976
