procedure,mean_auc,sd_auc,mean_brier,sd_brier,median_W,P90_W
Prevalence-only control,0.5,0.0,0.2337738358769459,2.803736533363884e-17,0.00219780219780219,0.00219780219780219
Logistic Regression,0.9945560253699788,0.0012989152875897596,0.020547257795615344,0.001676794818571691,0.001003938059742554,0.07262021934736318
Random Forest,0.9906401955602537,0.0009240946632887024,0.03169631534215729,0.0010077788286968698,0.01045000000000007,0.10785750000000002
