repeat,weighted_auc,brier_score
0,0.5,0.23377383587694586
1,0.5,0.23377383587694586
2,0.5,0.23377383587694586
3,0.5,0.23377383587694586
4,0.5,0.23377383587694586
5,0.5,0.23377383587694586
6,0.5,0.23377383587694586
7,0.5,0.23377383587694586
8,0.5,0.23377383587694586
9,0.5,0.23377383587694586
10,0.5,0.23377383587694586
11,0.5,0.23377383587694586
12,0.5,0.23377383587694592
13,0.5,0.23377383587694586
14,0.5,0.23377383587694586
15,0.5,0.23377383587694586
16,0.5,0.23377383587694586
17,0.5,0.23377383587694592
18,0.5,0.23377383587694586
19,0.5,0.23377383587694586
20,0.5,0.23377383587694586
21,0.5,0.23377383587694586
22,0.5,0.23377383587694586
23,0.5,0.23377383587694586
24,0.5,0.23377383587694586
25,0.5,0.23377383587694586
26,0.5,0.23377383587694586
27,0.5,0.23377383587694586
28,0.5,0.23377383587694586
29,0.5,0.23377383587694586
30,0.5,0.23377383587694586
31,0.5,0.23377383587694586
32,0.5,0.23377383587694586
33,0.5,0.23377383587694586
34,0.5,0.23377383587694586
35,0.5,0.23377383587694586
36,0.5,0.23377383587694586
37,0.5,0.23377383587694586
38,0.5,0.23377383587694586
39,0.5,0.23377383587694586
40,0.5,0.23377383587694586
41,0.5,0.23377383587694586
42,0.5,0.23377383587694592
43,0.5,0.23377383587694592
44,0.5,0.23377383587694586
45,0.5,0.23377383587694586
46,0.5,0.23377383587694586
47,0.5,0.23377383587694586
48,0.5,0.23377383587694586
49,0.5,0.23377383587694586
