repeat,weighted_auc,brier_score
0,0.9946485200845666,0.022545642355506285
1,0.9955734672304439,0.017812413904538676
2,0.9943181818181818,0.02169602657711903
3,0.9953752642706131,0.021244865153475023
4,0.9947145877378436,0.018907424849184867
5,0.993987843551797,0.019500817745053065
6,0.9943842494714588,0.01973087182340347
7,0.9963002114164905,0.0170142046124947
8,0.9959698731501057,0.020317392817198722
9,0.9961020084566596,0.017209942822963627
10,0.9953752642706131,0.021221233995604206
11,0.9943842494714588,0.021634429713573745
12,0.9935253699788583,0.02136485331333651
13,0.9927986257928119,0.02324497300823438
14,0.9927986257928119,0.023324033186227493
15,0.9942521141649049,0.020834099032737245
16,0.9946485200845666,0.01987259026649805
17,0.9951109936575053,0.01756889994839835
18,0.99392177589852,0.020758768607146677
19,0.9951109936575053,0.02094901897024985
20,0.9954413319238901,0.020638700093453904
21,0.9924022198731501,0.021612455590272868
22,0.9937235729386892,0.020440354325985694
23,0.9943181818181818,0.02204163299954027
24,0.9952431289640592,0.020283992122055654
25,0.9933271670190275,0.022867536933196427
26,0.9965644820295984,0.018973734545333378
27,0.9922700845665962,0.021980415599016166
28,0.9954413319238901,0.020225733787723552
29,0.9941199788583509,0.02039947630838075
30,0.9901559196617337,0.024349996903508742
31,0.9961680761099366,0.01946304533134751
32,0.9941860465116279,0.020306191930622955
33,0.9959038054968288,0.01923195996354814
34,0.9952431289640592,0.018704353280967218
35,0.9954413319238901,0.02235854702359723
36,0.9952431289640592,0.01837907391857411
37,0.9944503171247357,0.019784037035755233
38,0.9947145877378436,0.02108099101816471
39,0.9947145877378436,0.019427954059877885
40,0.9929968287526427,0.022356195967527758
41,0.9949127906976745,0.01930912645787479
42,0.9951770613107822,0.02180332608673462
43,0.9957056025369979,0.01819574607639939
44,0.9949788583509513,0.02265433488926042
45,0.9955734672304439,0.01884007515855226
46,0.9947145877378436,0.020050686847953605
47,0.9908826638477801,0.022799044848497936
48,0.9952431289640592,0.021018272717135533
49,0.9952431289640592,0.021033395256964942
