,estimate,MC_SE,MC_P2.5,MC_P97.5
median_W,0.001003938059742554,3.579245246585571e-05,0.0009309496486082367,0.001068409035562926
P90_W,0.07262021934736318,0.004158650916769541,0.06724363124650358,0.08312212941688252
