n_estimators,median_seed_SD,P90_seed_SD,P95_seed_SD,max_seed_SD
2000,0.0014053187833749897,0.008232872122493802,0.010108667756490653,0.015602083194240456
4000,0.0011414062823245923,0.005393598658340823,0.007312464986829612,0.010564385926309214
8000,0.0006312142048898969,0.003893320507910087,0.004655311624304385,0.006756015837755285
